id,name,category,description,fs
distrusts_ai_users,"Distrusts factions that use AI openly",ideological,"Negative disposition toward factions known to employ AI cores or conduct AI research.",#
values_military_strength,"Values military strength in partners",military,"Positively disposed toward factions with strong fleets and military infrastructure.",#
seeks_sector_hegemony,"Seeks sector-wide hegemony",political,"Desires to be the dominant governing authority over the entire sector.",#
claims_domain_territory,"Claims former Domain-administered territory",territorial,"Considers former Domain territories to be their rightful domain.",#
values_industrial_output,"Values strong industrial output in partners",economic,"Positively disposed toward factions with heavy industry and production.",#
distrusts_rapid_expansion,"Distrusts rapid expansion by others",political,"Suspicious of factions that are growing quickly.",#
distrusts_economic_competitors,"Distrusts economic competitors",economic,"Hostile toward factions that compete in same commodity markets.",#
distrusts_unreliable,"Distrusts unreliable or oathbreaking factions",political,"Heavy penalties for factions with Oathbreaker or Betrayer badges.",#
distrusts_secretive,"Distrusts secretive factions",political,"Suspicious of factions with Low Profile or Devious traits.",#
technology_is_progress,"Technology is progress",ideological,"Believes technological advancement benefits everyone.",#
free_markets_benefit_all,"Free markets benefit everyone",economic,"Supports open trade and deregulation.",#
ai_research_unrestricted,"AI research should be unrestricted",ideological,"Believes AI research should have no limits.",#
seeks_economic_dominance,"Seeks sector economic dominance",political,"Wants to control the sector's economy.",#
undermine_heg_regulatory,"Wants to undermine Hegemony regulatory power",political,"Actively works against Hegemony's sector authority.",#
luddic_threat,"Luddic factions are an ideological threat",political,"Views Luddic movements as dangerous.",#
values_tech_advancement,"Values technological advancement in partners",ideological,"Positively disposed toward high-tech factions.",#
values_trade_revenue,"Values trade revenue in partners",economic,"Positively disposed toward factions that generate trade income.",#
distrusts_econ_competitors_own,"Distrusts economic competitors in own markets",economic,"Hostile toward factions competing in their home markets.",#
distrusts_hostile_tech,"Distrusts factions hostile to technology",ideological,"Suspicious of anti-tech factions.",#
distrusts_rapid_military,"Distrusts rapid military expansion by others",political,"Wary of factions building up fleets quickly.",#
ai_heresy,"AI is heresy — must be destroyed",ideological,"AI cores and research are abominations to be eliminated.",#
spiritual_salvation,"Spiritual salvation through simple living",ideological,"Believes in returning to a simpler way of life.",#
agrarian_over_industrial,"Agrarian development over industrialization",economic,"Prefers farming and light industry over heavy production.",#
moderate_path_extremism,"Wants to moderate the Path's extremism",political,"Seeks to temper the Luddic Path's violent tendencies.",#
expand_peaceful_conversion,"Seeks to expand through peaceful conversion",political,"Wants to grow influence through missionary work.",#
values_ideological_alignment,"Values ideological alignment in partners",ideological,"Strongly prefers factions that share their worldview.",#
values_ecological_stewardship,"Values ecological stewardship in partners",economic,"Positively disposed toward environmentally conscious factions.",#
values_diplomatic_reliability,"Values diplomatic reliability in partners",political,"Strongly prefers factions that keep their word.",#
distrusts_heavy_industrial,"Distrusts heavy industrialization",economic,"Suspicious of factions that prioritize production over ecology.",#
distrusts_hostile_luddic,"Distrusts factions hostile to Luddic faith",ideological,"Defensive toward factions that oppose Luddism.",#
annihilate_all_ai_tech,"All AI and advanced tech must be annihilated",ideological,"Seeks the total destruction of all AI and high technology.",#
sector_irredeemably_corrupt,"The sector is irredeemably corrupt",ideological,"Believes the current order cannot be reformed.",#
violence_is_purification,"Violence is the only path to purification",military,"War and destruction are necessary for renewal.",#
centralized_authority_tyranny,"All centralized authority is tyranny",political,"Opposes any form of central governance.",#
distrusts_advanced_tech,"Distrusts any faction using advanced technology",ideological,"Hostile toward factions with high-tech infrastructure.",#
distrusts_ai_core_users,"Distrusts any faction with AI cores",ideological,"Specifically hostile to factions deploying AI cores.",#
distrusts_diplomatic_factions,"Distrusts diplomatic factions",political,"Views compromise and negotiation as weakness.",#
mutual_defense_heg,"Mutual defense against Hegemony aggression",political,"Core alliance goal: collective defense against Hegemony.",#
league_autonomy,"League members deserve autonomy",political,"Each member state should govern itself.",#
contain_hegemony,"Hegemony expansion must be contained",political,"Actively works to limit Hegemony growth.",#
